chokepoint,measure,Baseline 2023,2024,H1 2026,Post-blockade 2026
Strait of Hormuz,Tankers,57.17,53.22,13.86,1.43
Strait of Hormuz,Containerships,16.31,16.29,4.32,0.29
Strait of Hormuz,Tanker capacity,2774587.02,2501843.61,641421.8,21104.02
Bab el-Mandeb,Tankers,26.08,11.61,13.74,8.27
Bab el-Mandeb,Containerships,19.27,5.37,5.75,4.95
Bab el-Mandeb,Tanker capacity,1308309.69,579028.38,710961.27,383320.24
Suez Canal,Tankers,25.57,14.35,16.34,16.02
Suez Canal,Containerships,19.55,8.74,8.56,9.97
Suez Canal,Tanker capacity,1249662.28,617390.25,697627.26,665870.51
Cape of Good Hope,Tankers,9.1,18.9,18.72,18.73
Cape of Good Hope,Containerships,5.89,19.02,20.44,17.86
Cape of Good Hope,Tanker capacity,688728.42,1142422.26,1038344.17,1041349.7
