chokepoint,measure,2024 vs baseline (%),H1 2026 vs baseline (%),Post-blockade 2026 vs baseline (%)
Strait of Hormuz,Tankers,-7.0,-76.0,-98.0
Strait of Hormuz,Containerships,-0.0,-74.0,-98.0
Strait of Hormuz,Tanker capacity,-10.0,-77.0,-99.0
Bab el-Mandeb,Tankers,-55.0,-47.0,-68.0
Bab el-Mandeb,Containerships,-72.0,-70.0,-74.0
Bab el-Mandeb,Tanker capacity,-56.0,-46.0,-71.0
Suez Canal,Tankers,-44.0,-36.0,-37.0
Suez Canal,Containerships,-55.0,-56.0,-49.0
Suez Canal,Tanker capacity,-51.0,-44.0,-47.0
Cape of Good Hope,Tankers,108.0,106.0,106.0
Cape of Good Hope,Containerships,223.0,247.0,203.0
Cape of Good Hope,Tanker capacity,66.0,51.0,51.0
